area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,19-Dec,2 BHK,Coomee ,1056,2,1,39.07,Alandi Road
Plot  Area,Ready To Move,4 Bedroom,Theanmp,2600,5,3,120,Ambegaon Budruk
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,62,Anandnagar
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1521,3,1,95,Aundh
Super built-up  Area,Ready To Move,2 BHK,,1200,2,1,51,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,DuenaTa,1170,2,1,38,Balaji Nagar
Super built-up  Area,18-May,4 BHK,Jaades ,2732,4,,204,Baner
Super built-up  Area,Ready To Move,4 BHK,Brway G,3300,4,,600,Baner road
Super built-up  Area,Ready To Move,3 BHK,,1310,3,1,63.25,Bhandarkar Road
Plot  Area,Ready To Move,6 Bedroom,,1020,6,,370,Bhavani Peth
Super built-up  Area,18-Feb,3 BHK,,1800,2,2,70,Bibvewadi
Plot  Area,Ready To Move,4 Bedroom,Prrry M,2785,5,3,295,Bopodi
Super built-up  Area,Ready To Move,2 BHK,Shncyes,1000,2,1,38,Budhwar Peth
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,40,Bund Garden Road
Plot  Area,Ready To Move,3 Bedroom,Skityer,2250,3,2,148,Camp
Super built-up  Area,Ready To Move,2 BHK,PrntaEn,1175,2,2,73.5,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,Prityel,1180,3,2,48,Dapodi
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1540,3,3,60,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,PeBayle,2770,4,2,290,Dehu Road
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,48,Dhankawadi
Built-up  Area,Ready To Move,1 BHK,,600,1,1,15,Dhayari Phata
Super built-up  Area,19-Dec,3 BHK,She 2rk,1755,3,1,122,Dhole Patil Road
Plot  Area,Ready To Move,4 Bedroom,Soitya ,2800,5,2,380,Erandwane
Super built-up  Area,Ready To Move,3 BHK,,1767,3,1,103,Fatima Nagar
Super built-up  Area,18-Nov,1 RK,Bhe 2ko,510,1,0,25.25,Fergusson College Road
Super built-up  Area,18-May,3 BHK,,1250,3,2,56,Ganesh Peth
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1,1,23.1,Ganeshkhind
Built-up  Area,20-Dec,3 BHK,,1610,3,2,81,Ghorpade Peth
Super built-up  Area,17-Oct,2 BHK,ViistLa,1151,2,2,48.77,other
Super built-up  Area,Ready To Move,3 BHK,KBityo ,1025,2,1,47,Gokhale Nagar
Super built-up  Area,19-Dec,4 BHK,LedorSa,2100 - 2850,4,0,186,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,35,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,Mahosya,1760,2,2,123,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3,3,57.39,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,3 BHK,Kantsce,1925,3,,125,Hingne Khurd
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2,1,36,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,,1070,2,1,45.5,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,Dieldli,1724,3,2,125,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,,1290,2,2,56.12,Karve Road
Built-up  Area,Ready To Move,2 BHK,,1143,2,2,45,Kasba Peth
Built-up  Area,Ready To Move,2 BHK,Gentson,1296,2,,81,Katraj
Super built-up  Area,19-Dec,3 BHK,Soini T,1254,3,2,38,Khadaki
Super built-up  Area,Ready To Move,1 BHK,Ceove G,600,1,0,38,Khadki
Plot  Area,Ready To Move,1 Bedroom,,660,1,0,48,Kharadi
Super built-up  Area,19-Sep,2 BHK,Soazak ,1330.74,2,2,91.79,Kondhwa
Plot  Area,Ready To Move,8 Bedroom,,600,9,,200,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,LancyRe,970,2,0,33,Kondhwa Khurd
Super built-up  Area,20-Sep,2 BHK,Goted U,1459,2,1,94.82,Koregaon Park
Plot  Area,Ready To Move,2 Bedroom,,800,1,1,130,Kothrud
Built-up  Area,Ready To Move,2 BHK,,869,2,1,36,Law College Road
Super built-up  Area,Ready To Move,2 BHK,Bhncyis,1270,2,1,50,Laxmi Road
Super built-up  Area,18-Mar,3 BHK,Rosha I,1670,3,1,99,Lulla Nagar
Built-up  Area,Ready To Move,3 BHK,Suent V,2010,3,2,91,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1185,2,2,75,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,NCowsar,1600,2,3,75,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,44,Market yard
Built-up  Area,20-Feb,4 Bedroom,BrereAt,3010 - 3410,,,192,Model colony
Super built-up  Area,Ready To Move,2 BHK,PeBayle,1500,2,2,185,Mukund Nagar
Plot  Area,Ready To Move,6 Bedroom,,1407,4,1,150,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,,840,2,2,45,Nagar Road
Plot  Area,Ready To Move,3 Bedroom,,4395,3,2,240,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Laavevi,845,2,1,55,Narayan Peth
Plot  Area,Ready To Move,4 Bedroom,Chranya,5700,5,3,650,Narayangaon
Built-up  Area,Ready To Move,2 BHK,HioraTr,1160,2,2,44,Navi Peth
Built-up  Area,Ready To Move,8 Bedroom,,3000,8,0,140,Padmavati
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,62,Parvati Darshan
Super built-up  Area,18-Apr,2 BHK,BMineis,1140,2,3,43,Pashan
Super built-up  Area,Ready To Move,2 BHK,,1220,2,1,57,Paud Road
Plot  Area,Ready To Move,8 Bedroom,,1350,7,0,85,Pirangut
Super built-up  Area,Ready To Move,2 BHK,,1005,2,1,36.68,Prabhat Road
Plot  Area,Ready To Move,3 Bedroom,,500,3,2,100,Pune Railway Station
Super built-up  Area,20-Aug,2 BHK,Pruthg ,1358,2,1,80.58,Rasta Peth
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1569,3,1,101,Raviwar Peth
Super built-up  Area,18-Apr,2 BHK,SNnia E,1240,2,1,70,Sadashiv Peth
Super built-up  Area,Ready To Move,3 BHK,Anavi B,2089,3,2,140,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,,1206,2,1,48.23,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,,1150,2,3,40,Sasson Road
Built-up  Area,Ready To Move,3 BHK,Viony H,2511,3,3,205,Satara Road
Built-up  Area,Ready To Move,2 BHK,,460,1,0,22,Senapati Bapat Road
Built-up  Area,Ready To Move,6 Bedroom,,4400,6,3,250,Shaniwar Peth
Super built-up  Area,Ready To Move,3 BHK,AdentEl,1660,2,2,105,Shivaji Nagar
